adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,82866,tt0996396,en,Fog City Mavericks,"Fog City Mavericks: The Filmmakers of San Francisco is a compelling exploration of the legendary filmmakers who call the San Francisco Bay Area home including George Lucas, Francis Ford Coppola, Clint Eastwood, Chris Columbus and producer Saul Zaentz. The special weaves interviews, commentaries and unforgettable moments from some of the most visionary movies ever created such as American Graffiti, the Star Wars film series, the Indiana Jones film series, The Godfather trilogy, Apocalypse Now, One Flew Over the Cuckoo's Nest, Amadeus, Toy Story, The Incredibles, Lost in Translation, Flags of Our Fathers and many others. It also features interviews with those who have worked with Bay Area mavericks: Steven Spielberg, Michael Douglas, Anthony Minghella, Milos Forman and Frank Darabont.",0.01696,/nXfyYP6qcg2WNcc0eFr1mZpKRcB.jpg,[],[],2007-10-24,0.0,0.0,[],Released,,Fog City Mavericks,False,0.0,0.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}]",,104211,tt0023794,en,Berkeley Square,A young American man is transported back to London in the time of the American Revolution and meets his ancestors.,0.269518,/vQzoMmjkj1Li6zTe4hMCXBDSLJt.jpg,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-09-15,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Berkeley Square,False,3.0,2.0
False,"{'id': 378268, 'name': 'Havoc Collection', 'poster_path': '/fqgmbgxRGQX9duuTofbtqrJrMk8.jpg', 'backdrop_path': None}",0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,20478,tt0790721,en,Normal Adolescent Behavior,"High school student Wendy has an odd relationship with her five friends: They're openly sexual with each other, swapping partners every week. But this is all thrown into turmoil when she meets Sean, a new student in school who has a crush on her. Wendy wants to be with Sean, but doesn't want to disappoint her friends, whom she has known since grade school. When she does decide to leave them, her best friend, Billie, threatens revenge.",1.173129,/1gAlevDQzw7bqGsLT7ajPGPVvBI.jpg,"[{'name': 'Tax Credit Finance', 'id': 3782}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-04-27,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,no secrets. no inhibitions. no apologies.,Normal Adolescent Behavior,False,4.9,7.0
False,"{'id': 383632, 'name': 'A Man Called Horse Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",,35200,tt0075132,en,The Return of a Man Called Horse,"Lord John Morgan has returned to civilized life in England, but finds he has nothing but disdain for that life. Yearning to embrace the simplicity of the American West-and the Yellow Hands Sioux tribe he left behind, Morgan returns to the tribe's land only to discover that they've been decimated by ruthless, government-backed fur traders. They must regain their land, led by Horse.",1.247876,/gXkxRo7yEWY9n4Uvt6gJMt5cTYq.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Sandy Howard Productions', 'id': 5538}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1976-06-28,0.0,129.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The all-new adventures of the English Lord with the soul of an Indian.,The Return of a Man Called Horse,False,5.3,10.0
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,37144,tt0114736,en,True Crime,"Mary Giordano is a bright, intelligent student who goes to a catholic school. She also has a addiction to mystery novels and detective magazines (hence the title of the movie), which inspire her to do her own detective work. When she starts snooping around on the case of a murderer of teenage girls, it gets her in hot water with her mentor Detective Jerry Gunn. But it also starts a team up with police cadet Tony Campbell. The two work together to find the murderer. But the closer Mary gets to solving the murder, the more danger she puts herself in of being the next victim.",1.217249,/5lxz78SFABXeT89Wcr7MHJXBDB5.jpg,[],[],1996-03-12,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Trust no one.,True Crime,False,5.1,7.0
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",http://asilentvoice.com.au/,378064,tt5323662,ja,聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",34.852055,/drlyoSKDOPnxzJFrRWGqzDsyJvR.jpg,"[{'name': 'Kyoto Animation', 'id': 5438}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2016-09-17,19606617.0,130.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,A Silent Voice,False,8.1,157.0
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",,72693,tt0055152,en,Master of the World,A mad genius tries to bomb the world into peace.,1.826348,/2GZT3dFTRyeL2em8ksjAUb3TEdp.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-05-01,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The fabulous adventures of the man who conquered the earth to save it!,Master of the World,False,6.0,19.0
False,,0,[],,48268,tt0077492,hu,Magyar rapszódia,The movie portrays a peasant revolt in Hungary in the early twentieth century.,0.149236,/x6plwfPx5otRTNbH33sT0VdFLG0.jpg,"[{'name': 'Objektív Film', 'id': 55540}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1979-01-01,0.0,103.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Hungarian Rhapsody,False,8.5,2.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,311215,tt3772576,es,Papeles en el viento,"When El Mono dies, his three longtime friends try to recover from the loss and want to secure his little girl's future. But for Fernando, Mauricio and El Ruso this will not be easy. They decide to recover a big investment El Mono had made when he had bought a soccer player who was supposed to become a star.",0.469509,/cfCB68VQiAp3WBD7tBMzzI55pFZ.jpg,"[{'name': 'Televisión Federal (Telefe)', 'id': 21915}, {'name': 'Cine.Ar', 'id': 40840}, {'name': 'Concreto Films', 'id': 40841}, {'name': 'P&P Endemol Argentina', 'id': 41309}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",2015-01-08,0.0,0.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",In Production,,Roles in the Wind,False,6.1,8.0
False,,0,"[{'id': 16, 'name': 'Animation'}]",,93521,tt0015384,de,Symphonie diagonale,"A tilted figure, consisting largely of right angles at the beginning, grows by accretion, with the addition of short straight lines and curves which sprout from the existing design. The figure vanishes and the process begins again with a new pattern, each cycle lasting one or two seconds. The complete figures are drawn in a vaguely Art Deco style and could be said to resemble any number of things, an ear, a harp, panpipes, a grand piano with trombones, and so on, only highly stylized. The tone is playful and hypnotic.",0.710381,/3TknQsPZpa2hUA8If3O52rMm1h0.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1924-11-04,0.0,5.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Symphonie diagonale,False,5.3,12.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,104965,tt0204908,uz,Bo Ba Bu,Two barbarians in the desert find a stranded white woman and regard her as their property. A strange and exotic parable that presents a tragic three-cornered relationship in a politically incorrect and ironic way.,0.001223,/cBkKhXnp5Rwwl2BPY4nWB0nwP6N.jpg,[],[],1998-01-01,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'uz', 'name': 'ozbek'}]",Released,,Bo Ba Bu,False,0.0,0.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,392091,tt4934152,en,Los Punks: We Are All We Have,Los Punks: We Are All We Have is an intimate documentary about the teens and young adults who find meaning in the thriving punk rock scene in the backyards of South Central and East Los Angeles.,0.107496,/c5ZGtLPQwJXiyKKvESEUNWyENRa.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-01-22,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Los Punks: We Are All We Have,False,5.0,2.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,42011,tt0093502,ja,Marusa no onna,"Ryoko Itakura is a government tax agent who has just landed a big promotion. Her first assignment is to catch wheeler-dealer Hideki Gondo. She has a tough job, since in Japan tax evasion is an art and Gondo is, in effect, Rembrandt. Her job is complicated by a growing sympathy for the rogue and by political pressure to lay off.",0.757468,/i7tW73NQmolkWFfgNidnR6oJx6s.jpg,"[{'name': 'New Century Producers', 'id': 13255}, {'name': 'Itami Productions', 'id': 64128}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1987-02-07,0.0,127.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,"He has a Yen for her, but he won't tell her where it's hidden...",A Taxing Woman,False,5.8,5.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,68115,tt0114648,en,Terminal Justice,"In 2008 cybersex can only be surpassed by one thing: Cloned women, especially created for their clients. This puts Pamela Travis, a famous and much sought-after cybersex star in great danger - Dr. Vivyan, scientist and genius in the field of biotechnology wants her DNA to clone her for his many customers. Sergeant Bobby Chase is assigned to protect her, but can't prevent her from being kidnapped. In order to free Pamela, Chase has to risk his life in a deadly virtual reality game called ""Hellraiser""",0.436341,/zDVUTCbBPQ2PyZ7tn2GFoWsravB.jpg,"[{'name': 'Optix Digital Pictures', 'id': 13439}, {'name': 'Spectacor Films', 'id': 28277}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-04-01,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The name of the game is Danger,Terminal Justice,False,6.0,4.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",,23916,tt0078056,en,Paradise Alley,"Sylvester Stallone is fighting the odds again, this time in the wrestling ring. As Cosmo Carboni, he and his two brothers dream of getting out of Hell's Kitchen (circa 1946) and into the big time. The exit signs point to Paradise Alley, a sleazy private club where the floorshow consists of raucous wrestling matches with big purses. Stallone not only starred in and wrote this action-packed film, he also made his directorial debut in this tale of three guys who could take anything Hell's Kitchen could dish out.",5.634675,/lnkp93sG3UJQhdCuX0kgwPfuMky.jpg,"[{'name': 'Image Ten', 'id': 14121}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1978-09-22,7185518.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The Carboni Boys. They haul ice, lay out stiffs and dance with monkeys.",Paradise Alley,False,5.5,28.0
False,"{'id': 14377, 'name': 'Death Wish Collection', 'poster_path': '/3mC5lppASzZHx5IlmFSL6cPQpCP.jpg', 'backdrop_path': '/m3K7AXN8Wi6VIRtVlpF1E6nzEn1.jpg'}",2000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,14373,tt0082250,en,Death Wish 2,Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.,7.965003,/cD0RZPk8IE1FiJphsKdlBxnTzRt.jpg,"[{'name': 'Cannon Films', 'id': 4110}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1982-02-20,45000000.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,First His Wife. Now His Daughter. It's Time To Even The Score!,Death Wish 2,False,6.1,74.0
False,"{'id': 119234, 'name': 'Stray Cat Rock Collection', 'poster_path': '/lTX22cP5IrdzTF0n0giYbjPi45s.jpg', 'backdrop_path': None}",0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",,64576,tt0204504,ja,Nora-neko rokku: Onna banchô,"The first part of the Nora-neko rokku (""Alley Cat Rock"") series was originally Nikkatsu Studios' answer to the rivaling Toei Studios' Delinquent Boss series, but spawned four sequels thanks to its popularity. Onna banchô, the first movie in the series, takes place in Shinjuku, Tokyo where rivaling youth gangs are constantly trying to one-up each other in toughness. An all-girl gang led by Mei (Meiko Kaji) gets involved in dangerous circles when Mei's boyfriend Michio (Kôji Wada), wants to join a powerful yakuza organization called Seiyu but inadvertently loses the gangsters' money in a fixed boxing match. Of course, Mei's gang is not going to leave him to the gangsters, especially when helped by an enigmatic and independent female biker called Ako (Akiko Wada).",0.430769,/7f8Zz1SWa8xKYsCaoD0wWHNC8Ql.jpg,"[{'name': 'Nikkatsu', 'id': 955}, {'name': 'Hori Production', 'id': 12148}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1970-05-02,0.0,81.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Stray Cat Rock: Delinquent Girl Boss,False,5.7,9.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,50043,tt0118894,en,Cousin Bette,"Cousin Bette is a poor and lonely seamstress, who, after the death of her prominent and wealthy sister, tries to ingratiate herself into lives of her brother-in-law, Baron Hulot, and her niece, Hortense Hulot. Failing to do so, she instead finds solace and company in a handsome young sculptor she saves from starvation. But the aspiring artist soon finds love in the arms of another woman, Hortense, leaving Bette a bitter spinster. Bette plots to take revenge on the family who turned her away and stole her only love. With the help of famed courtesan Jenny Cadine she slowly destroys the lives of those who have scorned her. Written by CherylC894@aol.com",1.304145,/rkuPUrB4PM6Ob9IvniEpNDO5hvJ.jpg,[],[],1998-06-12,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Who knew deception, treachery and revenge could be this much fun...",Cousin Bette,False,5.9,10.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,39934,tt0100049,en,Longtime Companion,"Longtime Companion follows the lives of a small circle of friends from the first mention of the disease in the New York Times in 1981. First referred to as ""Gay-Related-Immune-Disorder,"" we watch the effect of the disease as it devastates the lives of our protagonists. Jumping between Manhattan and Fire Island, vignettes carry us from the it-couldn't-happen-to-me mentality of the early days of the disease to the invasive effect it has had on all of our lives, today. The title of the film comes from the New York Times' refusal to acknowledge homosexual relationships in their obituary section during this period. Instead, survivors were referred to as ""Longtime Companions"" of the deceased",0.89738,/maFDW8V0GFVeSRLeVUbSpgEUR6A.jpg,"[{'name': 'The Samuel Goldwyn Company', 'id': 8888}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-05-01,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Longtime Companion,False,7.2,16.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 10769, 'name': 'Foreign'}]",,20921,tt0409860,ja,キューティーハニー,"When Honey's uncle gets kidnapped by the evil criminal gang known as ""Panther Claw,"" she must use her magical powers of transformation (fueled by love) to save him. Meanwhile the same crime group has been responsible for a number of other crime sprees across Tokyo. In the process, Honey teams up with the seemingly cold police woman Natsuko Aki and hot shot journalist Seiji Hayami as well as battle the four ""claws"" of the Panther Claw gang to save her uncle and the rest of the city.",1.131061,/74B1e1CWQprEX6gvWWjCI0tAXGy.jpg,"[{'name': 'Gainax', 'id': 3041}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2004-05-29,0.0,94.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Cutie Honey,False,5.8,14.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,290379,tt0024269,en,Looking Forward,"Depression Era story set in London has department store owner (Lewis Stone) facing bankruptcy while his family fritters away money. A long-standing employee (Lionel Barrymore) gets fired but finds new life in a home-based bakery. The owner's wife (Benita Hume) can't face life without money, so she runs off with another man. The tables turn, however, when a last-minute reprieve saves the store and a new relationship is forged between the men.",0.572083,/ezQhINdFQLVf2zmk8Pb1uLbatDN.jpg,"[{'name': 'Cosmopolitan Productions', 'id': 1442}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-04-28,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Looking Forward,False,0.0,0.0
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,130816,tt0020620,en,Abraham Lincoln,"Silent film master D.W. Griffith's first talkie works as a companion piece to his classic BIRTH OF A NATION, providing a detailed biographical sketch of the 16th president. We see his birth in a log cabin, the tragic death of his first love, Ann Rutledge (Una Merkel), his debates with Douglas, his accepting of the presidency, the terrible toll of the Civil War, and finally the tragic assassination at Ford's Theater. Griffith shows his usual meticulous attention to period detail, and the framing of the various vignettes has the feel of historical photographs come to life. Walter Huston is excellent in the title role, with a portrayal that subtly evolves from laconic, wizened rascal to noble elder statesman. This is a fascinating, worthy film, and an interesting historical document in and of itself.",1.14295,/jat652dVfzIBzFbtQdIeDp6ihlo.jpg,"[{'name': 'D.W. Griffith Productions', 'id': 4759}, {'name': 'Feature Productions', 'id': 13914}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-11-08,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The wonder film of the century, about the most romantic figure who ever lived!",Abraham Lincoln,False,5.0,7.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,68529,tt0294916,ko,신라의 달밤,"Kick the Moon is about two high school students from a small-city high-school. One is a fighter who is involved in a legendary street-fight with a rival school, the other is a geeky wimp who loves to study and is one of the only students to not participate in the fight. Years later, the punk has grown to be a teacher in the high-school he attended and the nerd has become a mafia underboss and has returned to his hometown to set up operations. The movie revolves around the two men's rivalry for the affections of a local lady restaurant owner and the fighting of rival gang factions in the small city.",0.262952,/4o1MrrG4vdJhNMhmvhqLcRo2Qqj.jpg,[],"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2001-06-23,0.0,118.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Kick the Moon,False,5.7,6.0
